Paystep,BAC1,BA+30C2,C2+ID,C2+PD,C2+ID+PD,MA+30C6,MA+30C6+PD
1A,64789,66964,70983,72832,76848,75009,80873
1B,64789,66964,70983,72832,76848,75009,80873
2A,66078,68253,72272,74121,78137,76298,82162
2B,66078,68253,72272,74121,78137,76298,82162
3A,66623,68798,72817,74666,78682,76843,82707
3B,66623,68798,72817,74666,78682,76843,82707
4A,67588,69763,73782,75631,79647,77808,83672
4B,67588,69763,73782,75631,79647,77808,83672
5A,68422,70597,74616,76465,80481,78642,84506
5B,68422,70597,74616,76465,80481,78642,84506
6A,69319,71494,75513,77362,81378,79539,85403
6A+L5,70684,72859,76878,78727,82743,80904,86768
6B,70592,72767,76786,78635,82651,80812,86676
6B+L5,71957,74132,78151,80000,84016,82177,88041
7A,72481,74656,78675,80524,84540,82701,88565
7A+L5,73846,76021,80040,81889,85905,84066,89930
7B,76905,79080,83099,84948,88964,87125,92989
7B+L5,78270,80445,84464,86313,90329,88490,94354
8A,81042,83217,87236,89085,93101,91262,97126
8A+L5,82407,84582,88601,90450,94466,92627,98491
8B,85957,88132,92151,94000,98016,96177,102041
8B+L5,87322,89497,93516,95365,99381,97542,103406
8B+L10,91535,93710,97729,99578,103594,101755,107619
8B+L13,94404,96579,100598,102447,106463,104624,110488
8B+L15,100458,102633,106652,108501,112517,110678,116542
8B+L18,102048,104223,108242,110091,114107,112268,118132
8B+L20,113796,115971,119990,121839,125855,124016,129880
8B+L22,120408,122583,126602,128451,132467,130628,136492
